Geneid	2024	2025	2026
A4GALT	1698	1775	2007
ABCD1P4	5	3	5
ABHD17AP4	304	308	229
ABHD17AP5	819	907	781
ACO2	20355	19874	18469
ACO2P1	62	71	57
ACR	41	39	51
ACTBP15	2152	2283	2394
ACTR2P1	347	311	345
ACTR3BP6	2	3	0
ACTR3BP7	1	1	2
ADA2	33359	32195	35067
ADAMTS7P5	19	23	20
ADM2	417	404	379
ADORA2A	455	355	436
ADORA2A-AS1	63	54	53
ADSL	932	906	867
AIFM3	308	303	379
ALG12	3240	3005	3155
ANKRD54	3367	2901	2806
ANKRD62P1	8	5	5
ANKRD62P1-PARP4P3	7	7	5
ANP32BP2	6	7	6
AP1B1	22418	19989	20885
AP1B1P1	22	22	16
APOBEC3A	61838	62039	81291
APOBEC3B	6200	5591	5344
APOBEC3B-AS1	12	17	20
APOBEC3C	128695	122680	161305
APOBEC3D	996	1012	912
APOBEC3F	8247	7691	7922
APOBEC3G	62654	72694	53278
APOBEC3H	3434	3423	3273
APOL1	10708	9956	10640
APOL2	32579	34775	36410
APOL3	22578	20540	26913
APOL4	848	804	782
APOL5	4	2	3
APOL6	34193	30903	33922
ARFGAP3	21376	21608	22477
ARHGAP42P3	2	3	1
ARHGAP8	68	80	76
ARL5AP4	302	322	298
ARSA	18554	18094	23597
ARVCF	539	497	617
ASCC2	25540	23810	24254
ASH2LP1	222	237	232
ASH2LP2	29	31	29
ASH2LP3	10	9	17
ASH2LP4	13	20	13
ASLP1	89	92	84
ASPHD2	12618	12337	11809
ATF4	20872	19826	25073
ATP5MGL	371	384	509
ATP5PFP2	141	154	157
ATP6V1E1	71920	77643	73071
ATP6V1G3	1	0	0
ATXN10	26448	25997	17874
BAIAP2L2	189	177	203
BBLNP2	22	19	21
BCL2L13	13510	13053	14408
BCR	4778	4696	4291
BCRP1	1	0	2
BCRP3	28	32	27
BCRP4	8	10	11
BCRP6	1	1	1
BCRP8	13	7	18
BID	133246	144004	142688
BIK	5709	5956	4623
BMP6P1	2	2	3
BMS1P20	130	146	113
BPIFC	62	67	29
BRD1	4502	4561	5678
C1QTNF6	535	580	623
C22orf15	68	63	78
C22orf23	26	23	34
C22orf31	14	12	9
C22orf39	15940	15657	14712
C22orf42	26	28	28
C22orf46P	715	638	620
CA15P1	12	7	8
CA15P2	11	9	10
CABIN1	16668	18504	16257
CABP7	178	187	213
CABP7-DT	11	14	16
CACNA1I	594	580	592
CACNG2	92	99	98
CACNG2-DT	21	17	32
CARD10	282	261	208
CASTOR1	517	585	602
CBX6	39852	40326	44232
CBX7	8993	9765	7376
CBY1	2901	2825	2245
CCDC116	45	45	49
CCDC117	21278	20599	19111
CCDC134	2205	2017	2469
CCDC157	587	593	553
CCDC188	39	31	38
CCDC188BP	4	3	4
CCDC74BP1	3	5	3
CCT8L2	15	11	16
CDC42EP1	1306	1239	1203
CDC45	4262	4056	4226
CDPF1	6900	6480	8605
CECR2	202	188	174
CECR3	15	15	23
CECR9	2	2	1
CELSR1	631	659	599
CENPM	9127	9466	13734
CERK	8404	8399	7153
CES5AP1	2	1	2
CHADL	472	433	377
CHCHD10	16172	16368	18874
CHEK2	5819	7106	7798
CHKB	127	139	184
CHKB-DT	577	543	714
CIMAP1B	17768	17756	17175
CIMIP4	24	24	21
CLCP1	3	4	4
CLDN5	4897	5187	6725
CLTCL1	502	542	545
CNN2P1	91	83	79
COA1P1	10	12	14
COMT	64723	58001	55402
COX6B1P3	15	16	15
CPMER	4	8	5
CPT1B	83	70	92
CRELD2	17933	17129	17576
CRIP1P4	112	100	92
CRKL	45131	43339	45620
CRYBA4	15	14	19
CRYBB1	269	255	261
CRYBB2	25	19	22
CRYBB2P1	3867	3924	3235
CRYBB3	19	22	24
CSDC2	55	62	37
CSF2RB	83366	78831	93659
CSF2RBP1	20	12	24
CSNK1E	3064	3190	3406
CYB5R3	71614	64903	85378
CYP2D6	26	26	33
CYP2D7	96	99	110
CYP2D8P	22	18	12
CYTH4	55208	56405	55230
DDT	85	90	77
DDTL	1	3	2
DDX17	31854	28919	30002
