co_barcode_cluster_id,gene_id,count
A4GALT,A4GALT,1698
ABCD1P4,ABCD1P4,5
ABHD17AP4,ABHD17AP4,304
ABHD17AP5,ABHD17AP5,819
ACO2,ACO2,20355
ACO2P1,ACO2P1,62
ACR,ACR,41
ACTBP15,ACTBP15,2152
ACTR2P1,ACTR2P1,347
ACTR3BP6,ACTR3BP6,2
ACTR3BP7,ACTR3BP7,1
ADA2,ADA2,33359
ADAMTS7P5,ADAMTS7P5,19
ADM2,ADM2,417
ADORA2A,ADORA2A,455
ADORA2A-AS1,ADORA2A-AS1,63
ADSL,ADSL,932
AIFM3,AIFM3,308
ALG12,ALG12,3240
ANKRD54,ANKRD54,3367
ANKRD62P1,ANKRD62P1,8
ANKRD62P1-PARP4P3,ANKRD62P1-PARP4P3,7
ANP32BP2,ANP32BP2,6
AP1B1,AP1B1,22418
AP1B1P1,AP1B1P1,22
APOBEC3A,APOBEC3A,61838
APOBEC3B,APOBEC3B,6200
APOBEC3B-AS1,APOBEC3B-AS1,12
APOBEC3C,APOBEC3C,128695
APOBEC3D,APOBEC3D,996
APOBEC3F,APOBEC3F,8247
APOBEC3G,APOBEC3G,62654
APOBEC3H,APOBEC3H,3434
APOL1,APOL1,10708
APOL2,APOL2,32579
APOL3,APOL3,22578
APOL4,APOL4,848
APOL5,APOL5,4
APOL6,APOL6,34193
ARFGAP3,ARFGAP3,21376
ARHGAP42P3,ARHGAP42P3,2
ARHGAP8,ARHGAP8,68
ARL5AP4,ARL5AP4,302
ARSA,ARSA,18554
ARVCF,ARVCF,539
ASCC2,ASCC2,25540
ASH2LP1,ASH2LP1,222
ASH2LP2,ASH2LP2,29
ASH2LP3,ASH2LP3,10
ASH2LP4,ASH2LP4,13
ASLP1,ASLP1,89
ASPHD2,ASPHD2,12618
ATF4,ATF4,20872
ATP5MGL,ATP5MGL,371
ATP5PFP2,ATP5PFP2,141
ATP6V1E1,ATP6V1E1,71920
ATP6V1G3,ATP6V1G3,1
ATXN10,ATXN10,26448
BAIAP2L2,BAIAP2L2,189
BBLNP2,BBLNP2,22
BCL2L13,BCL2L13,13510
BCR,BCR,4778
BCRP1,BCRP1,1
BCRP3,BCRP3,28
BCRP4,BCRP4,8
BCRP6,BCRP6,1
BCRP8,BCRP8,13
BID,BID,133246
BIK,BIK,5709
BMP6P1,BMP6P1,2
BMS1P20,BMS1P20,130
BPIFC,BPIFC,62
BRD1,BRD1,4502
C1QTNF6,C1QTNF6,535
C22orf15,C22orf15,68
C22orf23,C22orf23,26
C22orf31,C22orf31,14
C22orf39,C22orf39,15940
C22orf42,C22orf42,26
C22orf46P,C22orf46P,715
CA15P1,CA15P1,12
CA15P2,CA15P2,11
CABIN1,CABIN1,16668
CABP7,CABP7,178
CABP7-DT,CABP7-DT,11
CACNA1I,CACNA1I,594
CACNG2,CACNG2,92
CACNG2-DT,CACNG2-DT,21
CARD10,CARD10,282
CASTOR1,CASTOR1,517
CBX6,CBX6,39852
CBX7,CBX7,8993
CBY1,CBY1,2901
CCDC116,CCDC116,45
CCDC117,CCDC117,21278
CCDC134,CCDC134,2205
CCDC157,CCDC157,587
CCDC188,CCDC188,39
CCDC188BP,CCDC188BP,4
CCDC74BP1,CCDC74BP1,3
CCT8L2,CCT8L2,15
CDC42EP1,CDC42EP1,1306
CDC45,CDC45,4262
CDPF1,CDPF1,6900
CECR2,CECR2,202
CECR3,CECR3,15
CECR9,CECR9,2
CELSR1,CELSR1,631
CENPM,CENPM,9127
CERK,CERK,8404
CES5AP1,CES5AP1,2
CHADL,CHADL,472
CHCHD10,CHCHD10,16172
CHEK2,CHEK2,5819
CHKB,CHKB,127
CHKB-DT,CHKB-DT,577
CIMAP1B,CIMAP1B,17768
CIMIP4,CIMIP4,24
