co_barcode_cluster_id,gene_id,count
A4GALT,A4GALT,1775
ABCD1P4,ABCD1P4,3
ABHD17AP4,ABHD17AP4,308
ABHD17AP5,ABHD17AP5,907
ACO2,ACO2,19874
ACO2P1,ACO2P1,71
ACR,ACR,39
ACTBP15,ACTBP15,2283
ACTR2P1,ACTR2P1,311
ACTR3BP6,ACTR3BP6,3
ACTR3BP7,ACTR3BP7,1
ADA2,ADA2,32195
ADAMTS7P5,ADAMTS7P5,23
ADM2,ADM2,404
ADORA2A,ADORA2A,355
ADORA2A-AS1,ADORA2A-AS1,54
ADSL,ADSL,906
AIFM3,AIFM3,303
ALG12,ALG12,3005
ANKRD54,ANKRD54,2901
ANKRD62P1,ANKRD62P1,5
ANKRD62P1-PARP4P3,ANKRD62P1-PARP4P3,7
ANP32BP2,ANP32BP2,7
AP1B1,AP1B1,19989
AP1B1P1,AP1B1P1,22
APOBEC3A,APOBEC3A,62039
APOBEC3B,APOBEC3B,5591
APOBEC3B-AS1,APOBEC3B-AS1,17
APOBEC3C,APOBEC3C,122680
APOBEC3D,APOBEC3D,1012
APOBEC3F,APOBEC3F,7691
APOBEC3G,APOBEC3G,72694
APOBEC3H,APOBEC3H,3423
APOL1,APOL1,9956
APOL2,APOL2,34775
APOL3,APOL3,20540
APOL4,APOL4,804
APOL5,APOL5,2
APOL6,APOL6,30903
ARFGAP3,ARFGAP3,21608
ARHGAP42P3,ARHGAP42P3,3
ARHGAP8,ARHGAP8,80
ARL5AP4,ARL5AP4,322
ARSA,ARSA,18094
ARVCF,ARVCF,497
ASCC2,ASCC2,23810
ASH2LP1,ASH2LP1,237
ASH2LP2,ASH2LP2,31
ASH2LP3,ASH2LP3,9
ASH2LP4,ASH2LP4,20
ASLP1,ASLP1,92
ASPHD2,ASPHD2,12337
ATF4,ATF4,19826
ATP5MGL,ATP5MGL,384
ATP5PFP2,ATP5PFP2,154
ATP6V1E1,ATP6V1E1,77643
ATXN10,ATXN10,25997
BAIAP2L2,BAIAP2L2,177
BBLNP2,BBLNP2,19
BCL2L13,BCL2L13,13053
BCR,BCR,4696
BCRP3,BCRP3,32
